variable;code;vintage
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2002
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2003
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2004
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2005
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2006
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2007
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2008
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2009
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2010
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2011
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2012
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2013
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2014
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2015
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2016
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2017
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2018
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2019
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2020
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Solids-NoSolar;2021
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;<=2000
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2001
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2002
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2003
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2004
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2005
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2006
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2007
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2008
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2009
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2010
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2011
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2012
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2013
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2014
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2015
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2016
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2017
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2018
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2019
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2020
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-NoSolar;2021
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;<=2000
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2001
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2002
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2003
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2004
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2005
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2006
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2007
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2008
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2009
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2010
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2011
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2012
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2013
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2014
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2015
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2016
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2017
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2018
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2019
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2020
;VIN-number-Res-HH-Thermal-SH-Solids-WH-LPG-Solar;2021
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;<=2000
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2001
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2002
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2003
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2004
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2005
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2006
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2007
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2008
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2009
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2010
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2011
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2012
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2013
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2014
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2015
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2016
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2017
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2018
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2019
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2020
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-NoSolar;2021
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;<=2000
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2001
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2002
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2003
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2004
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2005
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2006
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2007
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2008
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2009
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2010
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2011
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2012
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2013
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2014
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2015
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2016
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2017
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2018
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2019
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2020
;VIN-number-Res-HH-Thermal-SH-Solids-WH-Elc-Solar;2021
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;<=2000
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2001
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2002
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2003
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2004
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2005
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2006
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2007
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2008
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2009
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2010
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2011
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2012
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2013
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2014
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2015
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2016
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2017
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2018
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2019
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2020
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Solids;2021
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;<=2000
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2001
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2002
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2003
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2004
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2005
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2006
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2007
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2008
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2009
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2010
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2011
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2012
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2013
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2014
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2015
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2016
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2017
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2018
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2019
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2020
;VIN-number-Res-HH-Thermal-SH-Solids-CO-LPG;2021
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;<=2000
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2001
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2002
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2003
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2004
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2005
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2006
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2007
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2008
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2009
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2010
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2011
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2012
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2013
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2014
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2015
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2016
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2017
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2018
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2019
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2020
;VIN-number-Res-HH-Thermal-SH-Solids-CO-Elc;2021
;VIN-number-Res-HH-Thermal-SH-LPG;<=2000
;VIN-number-Res-HH-Thermal-SH-LPG;2001
;VIN-number-Res-HH-Thermal-SH-LPG;2002
;VIN-number-Res-HH-Thermal-SH-LPG;2003
;VIN-number-Res-HH-Thermal-SH-LPG;2004
;VIN-number-Res-HH-Thermal-SH-LPG;2005
;VIN-number-Res-HH-Thermal-SH-LPG;2006
;VIN-number-Res-HH-Thermal-SH-LPG;2007
;VIN-number-Res-HH-Thermal-SH-LPG;2008
;VIN-number-Res-HH-Thermal-SH-LPG;2009
;VIN-number-Res-HH-Thermal-SH-LPG;2010
;VIN-number-Res-HH-Thermal-SH-LPG;2011
;VIN-number-Res-HH-Thermal-SH-LPG;2012
;VIN-number-Res-HH-Thermal-SH-LPG;2013
;VIN-number-Res-HH-Thermal-SH-LPG;2014
;VIN-number-Res-HH-Thermal-SH-LPG;2015
;VIN-number-Res-HH-Thermal-SH-LPG;2016
;VIN-number-Res-HH-Thermal-SH-LPG;2017
;VIN-number-Res-HH-Thermal-SH-LPG;2018
;VIN-number-Res-HH-Thermal-SH-LPG;2019
;VIN-number-Res-HH-Thermal-SH-LPG;2020
;VIN-number-Res-HH-Thermal-SH-LPG;2021
;VIN-number-Res-HH-Thermal-SH-LPG-SH;<=2000
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2001
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2002
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2003
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2004
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2005
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2006
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2007
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2008
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2009
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2010
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2011
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2012
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2013
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2014
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2015
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2016
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2017
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2018
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2019
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2020
;VIN-number-Res-HH-Thermal-SH-LPG-SH;2021
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;<=2000
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2001
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2002
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2003
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2004
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2005
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2006
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2007
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2008
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2009
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2010
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2011
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2012
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2013
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2014
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2015
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2016
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2017
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2018
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2019
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2020
;VIN-number-Res-HH-Thermal-SH-LPG-SC-AC;2021
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;<=2000
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2001
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2002
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2003
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2004
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2005
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2006
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2007
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2008
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2009
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2010
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2011
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2012
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2013
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2014
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2015
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2016
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2017
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2018
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2019
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2020
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-NoSolar;2021
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;<=2000
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2001
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2002
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2003
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2004
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2005
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2006
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2007
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2008
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2009
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2010
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2011
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2012
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2013
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2014
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2015
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2016
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2017
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2018
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2019
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2020
;VIN-number-Res-HH-Thermal-SH-LPG-WH-LPG-Solar;2021
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;<=2000
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2001
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2002
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2003
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2004
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2005
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2006
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2007
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2008
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2009
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2010
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2011
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2012
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2013
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2014
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2015
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2016
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2017
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2018
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2019
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2020
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-NoSolar;2021
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;<=2000
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2001
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2002
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2003
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2004
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2005
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2006
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2007
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2008
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2009
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2010
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2011
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2012
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2013
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2014
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2015
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2016
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2017
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2018
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2019
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2020
;VIN-number-Res-HH-Thermal-SH-LPG-WH-Elc-Solar;2021
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;<=2000
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2001
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2002
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2003
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2004
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2005
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2006
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2007
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2008
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2009
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2010
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2011
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2012
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2013
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2014
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2015
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2016
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2017
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2018
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2019
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2020
;VIN-number-Res-HH-Thermal-SH-LPG-CO-LPG;2021
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;<=2000
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2001
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2002
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2003
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2004
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2005
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2006
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2007
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2008
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2009
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2010
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2011
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2012
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2013
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2014
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2015
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2016
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2017
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2018
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2019
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2020
;VIN-number-Res-HH-Thermal-SH-LPG-CO-Elc;2021
;VIN-number-Res-HH-Thermal-SH-Oil;<=2000
;VIN-number-Res-HH-Thermal-SH-Oil;2001
;VIN-number-Res-HH-Thermal-SH-Oil;2002
;VIN-number-Res-HH-Thermal-SH-Oil;2003
;VIN-number-Res-HH-Thermal-SH-Oil;2004
;VIN-number-Res-HH-Thermal-SH-Oil;2005
;VIN-number-Res-HH-Thermal-SH-Oil;2006
