variable;code;vintage
;NUM-number-Res-HH-Thermal;
;NUM-number-Res-HH-Thermal-SH;
;NUM-number-Res-HH-Thermal-SH-Solids;
;NUM-number-Res-HH-Thermal-SH-LPG;
;NUM-number-Res-HH-Thermal-SH-Oil;
;NUM-number-Res-HH-Thermal-SH-Gas;
;NUM-number-Res-HH-Thermal-SH-Biomass;
;NUM-number-Res-HH-Thermal-SH-Geo;
;NUM-number-Res-HH-Thermal-SH-DistrHeat;
;NUM-number-Res-HH-Thermal-SH-AdvElc;
;NUM-number-Res-HH-Thermal-SH-ConvElc;
;NUM-number-Res-HH-Thermal-SC;
;NUM-number-Res-HH-Thermal-SC-AC;
;NUM-number-Res-HH-Thermal-WH;
;NUM-number-Res-HH-Thermal-WH-Solids;
;NUM-number-Res-HH-Thermal-WH-LPG;
;NUM-number-Res-HH-Thermal-WH-Oil;
;NUM-number-Res-HH-Thermal-WH-Gas;
;NUM-number-Res-HH-Thermal-WH-Biomass;
;NUM-number-Res-HH-Thermal-WH-Geo;
;NUM-number-Res-HH-Thermal-WH-DistrHeat;
;NUM-number-Res-HH-Thermal-WH-Elc;
;NUM-number-Res-HH-Thermal-WH-Solar;
;NUM-number-Res-HH-Thermal-CO;
;NUM-number-Res-HH-Thermal-CO-Solids;
;NUM-number-Res-HH-Thermal-CO-LPG;
;NUM-number-Res-HH-Thermal-CO-Gas;
;NUM-number-Res-HH-Thermal-CO-Biomass;
;NUM-number-Res-HH-Thermal-CO-Elc;
FE|Residential|Space heating|Coal;FEC-ktoe-Res-HH-Thermal-SH-Solids-Solids;
FE|Residential|Space heating|Liquids;FEC-ktoe-Res-HH-Thermal-SH-LPG-LPG;
FE|Residential|Space heating|Liquids;FEC-ktoe-Res-HH-Thermal-SH-Oil-Oil_LiqBio;
FE|Residential|Space heating|Gases;FEC-ktoe-Res-HH-Thermal-SH-Gas-NG_Biogas;
FE|Residential|Space heating|Biomass;FEC-ktoe-Res-HH-Thermal-SH-Biomass-Biomass_Waste;
;FEC-ktoe-Res-HH-Thermal-SH-Geo-Geo;
FE|Residential|Space heating|Heat;FEC-ktoe-Res-HH-Thermal-SH-DistrHeat-Steam_Distr;
FE|Residential|Space heating|Electricity|Heat pump;FEC-ktoe-Res-HH-Thermal-SH-AdvElc-Elec;
FE|Residential|Space heating|Electricity|Resistive electric;FEC-ktoe-Res-HH-Thermal-SH-ConvElc-Elec;
;FEC-ktoe-Res-HH-Thermal-SH-TotalCirculation-Elec;
FE|Residential|Space cooling|Electricity;FEC-ktoe-Res-HH-Thermal-SC-AC-Elec;
FE|Residential|Water heating|Coal;FEC-ktoe-Res-HH-Thermal-WH-Solids-Solids;
FE|Residential|Water heating|Liquids;FEC-ktoe-Res-HH-Thermal-WH-LPG-LPG;
FE|Residential|Water heating|Liquids;FEC-ktoe-Res-HH-Thermal-WH-Oil-Oil_LiqBio;
FE|Residential|Water heating|Gases;FEC-ktoe-Res-HH-Thermal-WH-Gas-NG_Biogas;
FE|Residential|Water heating|Biomass;FEC-ktoe-Res-HH-Thermal-WH-Biomass-Biomass_Waste;
;FEC-ktoe-Res-HH-Thermal-WH-Geo-Geo;
FE|Residential|Water heating|Heat;FEC-ktoe-Res-HH-Thermal-WH-DistrHeat-Steam_Distr;
FE|Residential|Water heating|Electricity;FEC-ktoe-Res-HH-Thermal-WH-Elc-Elec;
;FEC-ktoe-Res-HH-Thermal-WH-TotalSolar-Solar;
FE|Residential|Cooking|Coal;FEC-ktoe-Res-HH-Thermal-CO-Solids-Solids;
FE|Residential|Cooking|Liquids;FEC-ktoe-Res-HH-Thermal-CO-LPG-LPG;
FE|Residential|Cooking|Gases;FEC-ktoe-Res-HH-Thermal-CO-Gas-NG_Biogas;
FE|Residential|Cooking|Biomass;FEC-ktoe-Res-HH-Thermal-CO-Biomass-Biomass_Waste;
FE|Residential|Cooking|Electricity;FEC-ktoe-Res-HH-Thermal-CO-Elc-Elec;
;TES-ktoe-Res-HH-Thermal;
UE|Residential|Space heating;TES-ktoe-Res-HH-Thermal-SH;
UE|Residential|Space heating|Coal;TES-ktoe-Res-HH-Thermal-SH-Solids-Solids;
UE|Residential|Space heating|Liquids;TES-ktoe-Res-HH-Thermal-SH-LPG-LPG;
UE|Residential|Space heating|Liquids;TES-ktoe-Res-HH-Thermal-SH-Oil-Oil_LiqBio;
UE|Residential|Space heating|Gases;TES-ktoe-Res-HH-Thermal-SH-Gas-NG_Biogas;
UE|Residential|Space heating|Biomass;TES-ktoe-Res-HH-Thermal-SH-Biomass-Biomass_Waste;
;TES-ktoe-Res-HH-Thermal-SH-Geo-Geo;
UE|Residential|Space heating|Heat;TES-ktoe-Res-HH-Thermal-SH-DistrHeat-Steam_Distr;
UE|Residential|Space heating|Electricity|Heat pump;TES-ktoe-Res-HH-Thermal-SH-AdvElc-Elec;
UE|Residential|Space heating|Electricity|Resistive electric;TES-ktoe-Res-HH-Thermal-SH-ConvElc-Elec;
;TES-ktoe-Res-HH-Thermal-SH-TotalCirculation-Elec;
UE|Residential|Space cooling;TES-ktoe-Res-HH-Thermal-SC;
