variable;ITEM;ENDUSE;comment
;EI_PKM_PC;P_RAIL;
;EI_VKM;P_RAIL;
;EI_VKM_PC;P_RAIL;
;EI_VUSE;P_RAIL;
;C_COAL;P_RAIL ;
;C_COAL;P_TOTAL;
;C_DIESEL;P_TOTAL;
;C_ELEC;P_TOTAL;
;C_FINAL;P_TOTAL;
;C_GAS;P_TOTAL;
;C_JETF;P_TOTAL;
;C_LPG;P_TOTAL;
;C_OTHER;P_TOTAL;
;CI_PC;P_TOTAL;
;CI_PKM;P_TOTAL;
;E_COAL;P_TOTAL;
;E_DIESEL;P_TOTAL;
;E_ELEC;P_TOTAL;
;E_FINAL;P_TOTAL;
;E_GAS;P_TOTAL;
;E_GASOL;P_TOTAL;
;E_HFO;P_TOTAL;
;E_JETF;P_TOTAL;
;E_LPG;P_TOTAL;
;E_OTHER;P_TOTAL;
;EI_PC;P_TOTAL;
;EI_PKM;P_TOTAL;
;EI_PKM_PC;P_TOTAL;
;ACT_PKM;P_TOTAL ;
;C_GASOL;P_TOTAL ;
;C_HFO;P_TOTAL ;
;ACT_PKM;P_WATER;
;C_DIESEL;P_WATER;
;C_FINAL;P_WATER;
;C_GASOL;P_WATER;
;C_HFO;P_WATER;
;CI_PC;P_WATER;
;CI_PKM;P_WATER;
;E_DIESEL;P_WATER;
;E_FINAL;P_WATER;
;E_GASOL;P_WATER;
;E_HFO;P_WATER;
;EI_LOAD_P;P_WATER;
;EI_PC;P_WATER;
;EI_PKM;P_WATER;
;EI_VUSE;P_WATER;
;EI_PKM_PC;P_WATER ;
;ACT_STOCK;R_CLOTH_D;
;C_ELEC;R_CLOTH_D;
;C_FINAL;R_CLOTH_D;
;C_OTHER;R_CLOTH_D;
;CI_PC;R_CLOTH_D;
;CI_PD;R_CLOTH_D;
;CI_PU;R_CLOTH_D;
;E_ELEC;R_CLOTH_D;
;E_FINAL;R_CLOTH_D;
;E_OTHER;R_CLOTH_D;
;EI_PC;R_CLOTH_D;
;EI_PD;R_CLOTH_D;
;EI_PU;R_CLOTH_D;
;ACT_STOCK;R_CLOTH_W;
;C_ELEC;R_CLOTH_W;
;C_FINAL;R_CLOTH_W;
;CI_PC;R_CLOTH_W;
;CI_PD;R_CLOTH_W;
;CI_PU;R_CLOTH_W;
;E_ELEC;R_CLOTH_W;
;E_FINAL;R_CLOTH_W;
;E_OTHER;R_CLOTH_W;
;EI_PC;R_CLOTH_W;
;EI_PD;R_CLOTH_W;
;EI_PU;R_CLOTH_W;
;ACT_STOCK;R_DISH_W;
;C_ELEC;R_DISH_W;
;C_FINAL;R_DISH_W;
;CI_PC;R_DISH_W;
;CI_PU;R_DISH_W;
;E_ELEC;R_DISH_W;
;E_FINAL;R_DISH_W;
;EI_PC;R_DISH_W;
;EI_PD;R_DISH_W;
;EI_PU;R_DISH_W;
;CI_PD;R_DISH_W ;
;ACT_STOCK;R_FREEZER;
;C_ELEC;R_FREEZER;
;C_FINAL;R_FREEZER;
;CI_PC;R_FREEZER;
;CI_PD;R_FREEZER;
;CI_PU;R_FREEZER;
;E_ELEC;R_FREEZER;
;E_FINAL;R_FREEZER;
;EI_PC;R_FREEZER;
;EI_PD;R_FREEZER;
;EI_PU;R_FREEZER;
;C_COAL;R_NONSPEC;
;C_DHEAT;R_NONSPEC;
;C_ELEC;R_NONSPEC;
;C_FINAL;R_NONSPEC;
;C_GAS;R_NONSPEC;
;C_OIL;R_NONSPEC;
;E_COAL;R_NONSPEC;
;E_DHEAT;R_NONSPEC;
;E_ELEC;R_NONSPEC;
;E_GAS;R_NONSPEC;
;E_OIL;R_NONSPEC;
;E_OTHER;R_NONSPEC;
;E_WOOD;R_NONSPEC;
;E_FINAL;R_NONSPEC ;
;C_ELEC;R_OTHER;
;C_FINAL;R_OTHER;
;CI_PC;R_OTHER;
;CI_PD;R_OTHER;
;E_ELEC;R_OTHER;
;E_FINAL;R_OTHER;
;E_OTHER;R_OTHER;
;EI_PD;R_OTHER;
;EI_PC;R_OTHER ;
;ACT_STOCK;R_PC;
;C_ELEC;R_PC;
;C_FINAL;R_PC;
;CI_PC;R_PC;
;CI_PD;R_PC;
;CI_PU;R_PC;
;E_ELEC;R_PC;
;E_FINAL;R_PC;
;EI_PC;R_PC;
;EI_PD;R_PC;
;EI_PU;R_PC;
;ACT_POWER;R_PV;
;ACT_STOCK;R_REFFREEZ;
;C_ELEC;R_REFFREEZ;
;CI_PC;R_REFFREEZ;
;CI_PD;R_REFFREEZ;
;CI_PU;R_REFFREEZ;
;E_ELEC;R_REFFREEZ;
;E_FINAL;R_REFFREEZ;
;EI_PC;R_REFFREEZ;
;EI_PD;R_REFFREEZ;
;EI_PU;R_REFFREEZ;
;C_FINAL;R_REFFREEZ ;
;ACT_STOCK;R_REFRIG;
;C_ELEC;R_REFRIG;
;C_FINAL;R_REFRIG;
;CI_PC;R_REFRIG;
;CI_PD;R_REFRIG;
;CI_PU;R_REFRIG;
;E_ELEC;R_REFRIG;
;E_FINAL;R_REFRIG;
;EI_PC;R_REFRIG;
;EI_PD;R_REFRIG;
;EI_PU;R_REFRIG;
;ACT_STOCK;R_SOLTHERM;
;C_ELEC;R_TV;
;C_FINAL;R_TV;
;CI_PC;R_TV;
;CI_PD;R_TV;
;CI_PU;R_TV;
;E_ELEC;R_TV;
;E_FINAL;R_TV;
;EI_PC;R_TV;
;EI_PD;R_TV;
;EI_PU;R_TV;
;ACT_STOCK;R_TV ;
;C_COAL;RAIL;
;C_DIESEL;RAIL;
;C_ELEC;RAIL;
;C_FINAL;RAIL;
;C_HFO;RAIL;
;C_OTHER;RAIL;
;E_COAL;RAIL;
;E_DIESEL;RAIL;
;E_ELEC;RAIL;
;E_FINAL;RAIL;
;E_HFO;RAIL;
;E_OTHER;RAIL;
;C_DIESEL;ROAD;
;C_ELEC;ROAD;
;C_FINAL;ROAD;
;C_GAS;ROAD;
;C_GASOL;ROAD;
;C_LPG;ROAD;
;C_OTHER;ROAD;
;E_DIESEL;ROAD;
;E_ELEC;ROAD;
;E_FINAL;ROAD;
;E_GAS;ROAD;
;E_GASOL;ROAD;
;E_LPG;ROAD;
;E_OTHER;ROAD;
;E_ELEC;S_ARTS;
;E_OTHER;S_ARTS;
;E_FINAL;S_ARTS ;
;E_ELEC;S_EDU;
;E_FINAL;S_EDU;
;E_OTHER;S_EDU;
;C_ELEC;S_GENERIC;
;C_FINAL;S_GENERIC;
;C_GAS;S_GENERIC;
;C_OIL;S_GENERIC;
;E_ELEC;S_GENERIC;
;E_FINAL;S_GENERIC;
;E_GAS;S_GENERIC;
;E_OIL;S_GENERIC;
;E_OTHER;S_GENERIC;
;E_WOOD;S_GENERIC;
;E_ELEC;S_HEALTH;
;E_FINAL;S_HEALTH;
;E_OTHER;S_HEALTH;
;C_COAL;S_NONSPEC;
;C_ELEC;S_NONSPEC;
;C_FINAL;S_NONSPEC;
;C_GAS;S_NONSPEC;
;C_OIL;S_NONSPEC;
;C_WOOD;S_NONSPEC;
;E_COAL;S_NONSPEC;
;E_DHEAT;S_NONSPEC;
;E_ELEC;S_NONSPEC;
;E_FINAL;S_NONSPEC;
;E_GAS;S_NONSPEC;
;E_OIL;S_NONSPEC;
;E_OTHER;S_NONSPEC;
;E_WOOD;S_NONSPEC;
;C_DHEAT;S_NONSPEC ;
;E_ELEC;S_OFFICE;
;E_FINAL;S_OFFICE;
;E_OTHER;S_OFFICE;
;E_ELEC;S_OTHER;
;E_FINAL;S_OTHER;
;E_OTHER;S_OTHER;
;E_ELEC;S_PUBLIC;
;E_FINAL;S_PUBLIC;
;E_OTHER;S_PUBLIC;
;E_ELEC;S_RETAIL;
;E_FINAL;S_RETAIL;
;E_OTHER;S_RETAIL;
;E_ELEC;S_SEWWASTE;
;E_FINAL;S_SEWWASTE;
;E_OTHER;S_SEWWASTE ;
;E_ELEC;S_WARETRA;
;E_FINAL;S_WARETRA;
;E_OTHER;S_WARETRA;
;E_ELEC;S_ACCFOOD;
;E_FINAL;S_ACCFOOD;
;ACT_DWEL_OCC;DATA;
;ACT_STOCK;R_AC;
;C_OTHER;R_APPLIANC;
;CI_PC;R_APPLIANC;
;CI_PD;R_APPLIANC;
;E_OTHER;R_APPLIANC;
;EI_PC;R_APPLIANC;
;EI_PD;R_APPLIANC;
;CI_FA;R_COOKING;
;CI_PC;R_COOKING;
;CI_PD;R_COOKING;
;E_OTHER;R_COOKING;
;EI_FA;R_COOKING;
;EI_PC;R_COOKING;
;EI_PD;R_COOKING;
;ACT_STOCK;R_HEATPUMP;
;CI_FA;R_LIGHTING;
;CI_PC;R_LIGHTING;
;CI_PD;R_LIGHTING;
;E_OTHER;R_LIGHTING;
;EI_FA;R_LIGHTING;
;EI_PC;R_LIGHTING;
;EI_PD;R_LIGHTING;
;CI_FA;R_SPACE_C;
;CI_PC;R_SPACE_C;
;CI_PD;R_SPACE_C;
;E_OTHER;R_SPACE_C;
;EI_FA;R_SPACE_C;
;EI_FA_TC;R_SPACE_C;
;EI_PC;R_SPACE_C;
;EI_PD;R_SPACE_C;
;EI_PD_TC;R_SPACE_C;
;CI_FA;R_SPACE_H;
;CI_PC;R_SPACE_H;
;CI_PD;R_SPACE_H;
;E_OTHER;R_SPACE_H;
;EI_FA;R_SPACE_H;
;EI_FA_TC;R_SPACE_H;
;EI_PC;R_SPACE_H;
;EI_PD;R_SPACE_H;
;EI_PD_TC;R_SPACE_H;
;C_OTHER;R_TOTAL;
;CI_FA;R_TOTAL;
;CI_PC;R_TOTAL;
;CI_PD;R_TOTAL;
;E_OTHER;R_TOTAL;
;EI_FA;R_TOTAL;
;EI_FA_TC;R_TOTAL;
;EI_PC;R_TOTAL;
;EI_PD_TC;R_TOTAL;
;EI_PD;R_TOTAL ;
;CI_FA;R_WATER_H;
;CI_PD;R_WATER_H;
;EI_FA;R_WATER_H;
;EI_PC;R_WATER_H;
;EI_PD;R_WATER_H;
;CI_PC;R_WATER_H ;
;E_OTHER;R_WATER_H ;
;E_OTHER;S_ACCFOOD;
;ACT_GDP_P;S_ALL;
;CI_FA;S_ALL;
;CI_GDP;S_ALL;
;CI_PC;S_ALL;
;CI_PE;S_ALL;
;E_OTHER;S_ALL;
;EI_FA;S_ALL;
;EI_FA_TC;S_ALL;
;EI_GDP;S_ALL;
;EI_PC;S_ALL;
;EI_PE;S_ALL;
;E_OTHER;S_IC;
;CI_FA;S_LIGHTING;
;CI_PC;S_LIGHTING;
;CI_PE;S_LIGHTING;
;EI_FA;S_LIGHTING;
;EI_PC;S_LIGHTING;
;EI_PE;S_LIGHTING;
;CI_FA;S_SPACE_C;
;CI_PC;S_SPACE_C;
;CI_PE;S_SPACE_C;
;EI_FA;S_SPACE_C;
;EI_FA_TC;S_SPACE_C;
;EI_PC;S_SPACE_C;
;EI_PE;S_SPACE_C;
;CI_FA;S_SPACE_H;
;CI_PC;S_SPACE_H;
;CI_PE;S_SPACE_H;
;E_OTHER;S_SPACE_H;
;EI_FA;S_SPACE_H;
;EI_FA_TC;S_SPACE_H;
;EI_PC;S_SPACE_H;
;EI_PE;S_SPACE_H ;
;C_COAL;TOTAL;
;C_DIESEL;TOTAL;
;C_ELEC;TOTAL;
;C_FINAL;TOTAL;
;C_GAS;TOTAL;
;C_GASOL;TOTAL;
;C_HFO;TOTAL;
;C_JETF;TOTAL;
;C_LPG;TOTAL;
;C_OTHER;TOTAL;
;CI_PC;TOTAL;
;E_COAL;TOTAL;
;E_ELEC;TOTAL;
;E_FINAL;TOTAL;
;E_GASOL;TOTAL;
;E_HFO;TOTAL;
;E_JETF;TOTAL;
;E_LPG;TOTAL;
;E_OTHER;TOTAL;
;EI_PC;TOTAL;
;E_DIESEL;TOTAL ;
;E_GAS;TOTAL ;
;C_COAL;WATER;
;C_DIESEL;WATER;
;C_FINAL;WATER;
;C_GAS;WATER;
;C_GASOL;WATER;
;C_HFO;WATER;
;C_OTHER;WATER;
;E_COAL;WATER;
;E_DIESEL;WATER;
;E_FINAL;WATER;
;E_GAS;WATER;
;E_GASOL;WATER;
;E_HFO;WATER;
;E_OTHER;WATER;
