variable;ITEM;ENDUSE;comment
Emi|CO2|Commercial|Heat;C_DHEAT;S_ALL;
Emi|CO2|Commercial|Gases;C_GAS;S_ALL;
Emi|CO2|Commercial|Electricity;C_ELEC;S_ALL;
Emi|CO2|Commercial|Space heating|Liquids;C_OIL;S_SPACE_H;
Emi|CO2|Commercial|Space heating|Heat;C_DHEAT;S_SPACE_H;
Emi|CO2|Commercial|Space heating|Gases;C_GAS;S_SPACE_H;
Emi|CO2|Commercial|Space heating|Electricity;C_ELEC;S_SPACE_H;
Emi|CO2|Commercial|Space heating|Coal;C_COAL;S_SPACE_H;
Emi|CO2|Commercial|Space heating|Biomass;C_WOOD;S_SPACE_H;
Emi|CO2|Commercial|Space heating;C_FINAL;S_SPACE_H;
Emi|CO2|Commercial|Space cooling|Liquids;C_OIL;S_SPACE_C;
Emi|CO2|Commercial|Space cooling|Heat;C_DHEAT;S_SPACE_C;
Emi|CO2|Commercial|Space cooling|Gases;C_GAS;S_SPACE_C;
Emi|CO2|Commercial|Space cooling|Electricity;C_ELEC;S_SPACE_C;
Emi|CO2|Commercial|Space cooling|Biomass;C_WOOD;S_SPACE_C;
Emi|CO2|Commercial|Space cooling;C_FINAL;S_SPACE_C;
Emi|CO2|Commercial|Lighting|Electricity;C_ELEC;S_LIGHTING;
Emi|CO2|Commercial|Lighting;C_FINAL;S_LIGHTING;
Emi|CO2|Commercial|Coal;C_COAL;S_ALL;
Emi|CO2|Commercial|Biomass;C_WOOD;S_ALL;
Emi|CO2|Commercial;C_FINAL;S_ALL;
;C_FINAL;AIR;
;C_JETF;AIR;
;C_OTHER;AIR;
;E_FINAL;AIR;
;E_JETF;AIR;
;E_OTHER;AIR;
;ACT_C_DDAYS;DATA;
;ACT_CEMENT;DATA;
;ACT_H_DDAYS;DATA;
;ACT_POP;DATA;
;ACT_S_EMPLOY;DATA;
;ACT_STEEL;DATA;
;ACT_TKM;F_AIR;
;C_JETF;F_AIR;
;CI_PC;F_AIR;
;CI_TKM;F_AIR;
;E_FINAL;F_AIR;
;E_JETF;F_AIR;
;EI_PC;F_AIR;
;EI_TKM;F_AIR;
;EI_TKM_PC;F_AIR;
;C_FINAL;F_AIR ;
;ACT_VST;F_LTRUCKS;
;ACT_TKM;F_RAIL;
;ACT_VKM;F_RAIL;
;ACT_VST;F_RAIL;
;C_DIESEL;F_RAIL;
;C_ELEC;F_RAIL;
;C_FINAL;F_RAIL;
;C_OTHER;F_RAIL;
;CI_PC;F_RAIL;
;CI_TKM;F_RAIL;
;CI_VKM;F_RAIL;
;E_DIESEL;F_RAIL;
;E_ELEC;F_RAIL;
;E_FINAL;F_RAIL;
;EI_LOAD_F;F_RAIL;
;EI_PC;F_RAIL;
;EI_TKM;F_RAIL;
;EI_TKM_PC;F_RAIL;
;EI_VKM;F_RAIL;
;EI_VKM_PC;F_RAIL;
;EI_VUSE;F_RAIL;
;E_OTHER;F_RAIL ;
;ACT_TKM;F_TOTAL;
;C_COAL;F_TOTAL;
;C_DIESEL;F_TOTAL;
;C_ELEC;F_TOTAL;
;C_FINAL;F_TOTAL;
;C_GAS;F_TOTAL;
;C_GASOL;F_TOTAL;
;C_HFO;F_TOTAL;
;C_JETF;F_TOTAL;
;C_LPG;F_TOTAL;
;C_OTHER;F_TOTAL;
;CI_PC;F_TOTAL;
;CI_TKM;F_TOTAL;
;E_COAL;F_TOTAL;
;E_DIESEL;F_TOTAL;
;E_ELEC;F_TOTAL;
;E_FINAL;F_TOTAL;
;E_GAS;F_TOTAL;
;E_GASOL;F_TOTAL;
;E_HFO;F_TOTAL;
;E_JETF;F_TOTAL;
;E_LPG;F_TOTAL;
;E_OTHER;F_TOTAL;
;EI_PC;F_TOTAL;
;EI_TKM;F_TOTAL;
;EI_TKM_PC;F_TOTAL;
;ACT_TKM;F_TRUCKS;
;ACT_VKM;F_TRUCKS;
;ACT_VST;F_TRUCKS;
;C_DIESEL;F_TRUCKS;
;C_ELEC;F_TRUCKS;
;C_FINAL;F_TRUCKS;
;C_GAS;F_TRUCKS;
;C_GASOL;F_TRUCKS;
;C_LPG;F_TRUCKS;
;C_OTHER;F_TRUCKS;
;CI_PC;F_TRUCKS;
;CI_TKM;F_TRUCKS;
;CI_VKM;F_TRUCKS;
;E_DIESEL;F_TRUCKS;
;E_ELEC;F_TRUCKS;
;E_FINAL;F_TRUCKS;
;E_GAS;F_TRUCKS;
;E_GASOL;F_TRUCKS;
;E_LPG;F_TRUCKS;
;E_OTHER;F_TRUCKS;
;EI_FUEL_INT;F_TRUCKS;
;EI_LOAD_F;F_TRUCKS;
;EI_PC;F_TRUCKS;
;EI_TKM;F_TRUCKS;
;EI_TKM_PC;F_TRUCKS;
;EI_VKM;F_TRUCKS;
;EI_VKM_PC;F_TRUCKS;
;EI_VUSE;F_TRUCKS;
;ACT_TKM;F_WATER;
;C_COAL;F_WATER;
;C_DIESEL;F_WATER;
;C_FINAL;F_WATER;
;C_GAS;F_WATER;
;C_GASOL;F_WATER;
;C_HFO;F_WATER;
;C_OTHER;F_WATER;
;CI_PC;F_WATER;
;CI_TKM;F_WATER;
;E_COAL;F_WATER;
;E_DIESEL;F_WATER;
;E_FINAL;F_WATER;
;E_GAS;F_WATER;
;E_GASOL;F_WATER;
;E_HFO;F_WATER;
;E_OTHER;F_WATER;
;EI_PC;F_WATER;
;EI_TKM;F_WATER;
;EI_TKM_PC;F_WATER;
;EI_VUSE;F_WATER;
;EI_LOAD_F;F_WATER ;
;ACT_GDP_P;M_CARS;
;C_COAL;M_CARS;
;C_DHEAT;M_CARS;
;C_ELEC;M_CARS;
;C_FINAL;M_CARS;
;C_GAS;M_CARS;
;C_OIL;M_CARS;
;C_WOOD;M_CARS;
;CI_GDP;M_CARS;
;E_COAL;M_CARS;
;E_DHEAT;M_CARS;
;E_ELEC;M_CARS;
;E_FINAL;M_CARS;
;E_GAS;M_CARS;
;E_OIL;M_CARS;
;E_OTHER;M_CARS;
;E_WOOD;M_CARS;
;EI_GDP;M_CARS;
;C_COAL;M_CEMENT;
;C_DHEAT;M_CEMENT;
;C_ELEC;M_CEMENT;
;C_FINAL;M_CEMENT;
;C_GAS;M_CEMENT;
;C_OIL;M_CEMENT;
;C_WOOD;M_CEMENT;
;CI_PHYSICAL;M_CEMENT;
;E_COAL;M_CEMENT;
;E_DHEAT;M_CEMENT;
;E_ELEC;M_CEMENT;
;E_FINAL;M_CEMENT;
;E_GAS;M_CEMENT;
;E_OIL;M_CEMENT;
;E_OTHER;M_CEMENT;
;E_WOOD;M_CEMENT;
;EI_PHYSICAL;M_CEMENT;
;ACT_GDP_P;M_FERROUS;
;C_COAL;M_FERROUS;
;C_DHEAT;M_FERROUS;
;C_ELEC;M_FERROUS;
;C_FINAL;M_FERROUS;
;C_GAS;M_FERROUS;
;C_WOOD;M_FERROUS;
;CI_GDP;M_FERROUS;
;CI_PHYSICAL;M_FERROUS;
;E_COAL;M_FERROUS;
;E_DHEAT;M_FERROUS;
;E_ELEC;M_FERROUS;
;E_FINAL;M_FERROUS;
;E_GAS;M_FERROUS;
;E_OIL;M_FERROUS;
;E_WOOD;M_FERROUS;
;EI_GDP;M_FERROUS;
;EI_PHYSICAL;M_FERROUS;
;C_OIL;M_FERROUS ;
;E_OTHER;M_FERROUS ;
;ACT_GDP_P;M_FOOD;
;C_COAL;M_FOOD;
;C_DHEAT;M_FOOD;
;C_ELEC;M_FOOD;
;C_FINAL;M_FOOD;
;C_GAS;M_FOOD;
;C_OIL;M_FOOD;
;C_WOOD;M_FOOD;
;CI_GDP;M_FOOD;
;E_COAL;M_FOOD;
;E_ELEC;M_FOOD;
;E_FINAL;M_FOOD;
;E_GAS;M_FOOD;
;E_OTHER;M_FOOD;
;E_WOOD;M_FOOD;
;EI_GDP;M_FOOD;
;E_DHEAT;M_FOOD ;
;E_OIL;M_FOOD ;
;ACT_GDP_P;M_INDCHEMS;
;C_COAL;M_INDCHEMS;
;C_DHEAT;M_INDCHEMS;
;C_ELEC;M_INDCHEMS;
;C_FINAL;M_INDCHEMS;
;C_GAS;M_INDCHEMS;
;C_OIL;M_INDCHEMS;
;C_WOOD;M_INDCHEMS;
;CI_GDP;M_INDCHEMS;
;E_COAL;M_INDCHEMS;
;E_DHEAT;M_INDCHEMS;
;E_FINAL;M_INDCHEMS;
;E_GAS;M_INDCHEMS;
;E_OIL;M_INDCHEMS;
;E_OTHER;M_INDCHEMS;
;E_WOOD;M_INDCHEMS;
;EI_GDP;M_INDCHEMS;
;E_ELEC;M_INDCHEMS ;
;ACT_GDP_P;M_MACHINE;
;C_COAL;M_MACHINE;
;C_DHEAT;M_MACHINE;
;C_ELEC;M_MACHINE;
;C_FINAL;M_MACHINE;
;C_GAS;M_MACHINE;
;C_OIL;M_MACHINE;
;C_WOOD;M_MACHINE;
;CI_GDP;M_MACHINE;
;E_COAL;M_MACHINE;
;E_DHEAT;M_MACHINE;
;E_ELEC;M_MACHINE;
;E_FINAL;M_MACHINE;
;E_GAS;M_MACHINE;
;E_OIL;M_MACHINE;
;E_OTHER;M_MACHINE;
;E_WOOD;M_MACHINE;
;EI_GDP;M_MACHINE;
;ACT_GDP_P;M_METALS;
;C_COAL;M_METALS;
;C_ELEC;M_METALS;
;C_FINAL;M_METALS;
;C_GAS;M_METALS;
;C_OIL;M_METALS;
;C_WOOD;M_METALS;
;CI_GDP;M_METALS;
;E_COAL;M_METALS;
;E_DHEAT;M_METALS;
;E_ELEC;M_METALS;
;E_FINAL;M_METALS;
;E_GAS;M_METALS;
;E_OIL;M_METALS;
;E_OTHER;M_METALS;
;E_WOOD;M_METALS;
;EI_GDP;M_METALS;
;C_DHEAT;M_METALS ;
;ACT_GDP_P;M_NONFERRO;
;C_COAL;M_NONFERRO;
;C_DHEAT;M_NONFERRO;
;C_ELEC;M_NONFERRO;
;C_FINAL;M_NONFERRO;
;C_GAS;M_NONFERRO;
;C_OIL;M_NONFERRO;
;C_WOOD;M_NONFERRO;
;CI_GDP;M_NONFERRO;
;E_COAL;M_NONFERRO;
;E_DHEAT;M_NONFERRO;
;E_ELEC;M_NONFERRO;
;E_FINAL;M_NONFERRO;
;E_GAS;M_NONFERRO;
;E_OIL;M_NONFERRO;
;E_OTHER;M_NONFERRO;
;E_WOOD;M_NONFERRO;
;EI_GDP;M_NONFERRO;
;ACT_GDP_P;M_NONMETAL;
;C_COAL;M_NONMETAL;
;C_DHEAT;M_NONMETAL;
;C_ELEC;M_NONMETAL;
;C_FINAL;M_NONMETAL;
;C_GAS;M_NONMETAL;
;C_OIL;M_NONMETAL;
;C_WOOD;M_NONMETAL;
;CI_GDP;M_NONMETAL;
